Priority comparison: PW vs TTC (10000p_150d)
Sorted by priority descending (highest priority number = most important)
Patient ID   PW    TTC    Priority  Verdict
      1896    Y      Y        9436   both
      7020    Y      Y        9435   both
      4494    Y      Y        9434   both
      8265    Y      Y        9433   both
      3569    Y      Y        9432   both
      7797    Y      N        9431  PW only
      3023    Y      Y        9430   both
      8198    Y      Y        9429   both
      9358    Y      Y        9428   both
      9303    Y      Y        9427   both
      5070    Y      Y        9426   both
      2339    Y      Y        9425   both
       124    Y      Y        9424   both
       993    Y      Y        9423   both
      7002    Y      Y        9422   both
      8841    Y      Y        9421   both
      8196    Y      Y        9420   both
      9510    Y      Y        9419   both
      5482    Y      Y        9418   both
      2030    Y      Y        9417   both
      4472    Y      Y        9416   both
      7280    Y      Y        9415   both
      3964    Y      Y        9414   both
      7606    Y      Y        9413   both
       420    Y      Y        9412   both
      4200    Y      Y        9411   both
      7695    Y      Y        9410   both
      4873    Y      Y        9409   both
      8076    Y      Y        9408   both
      3913    Y      Y        9407   both
      3751    Y      Y        9406   both
      4718    Y      Y        9405   both
      9048    Y      Y        9404   both
        27    Y      Y        9403   both
      1497    Y      Y        9402   both
      4136    Y      Y        9401   both
      7620    Y      Y        9400   both
      4747    Y      Y        9399   both
      9698    Y      Y        9398   both
      5272    Y      Y        9397   both
       873    Y      Y        9396   both
      4701    Y      Y        9395   both
      7108    Y      Y        9394   both
      5558    Y      Y        9393   both
      5522    Y      Y        9392   both
      5172    Y      Y        9391   both
      7848    Y      Y        9390   both
      3662    Y      Y        9389   both
      4640    Y      Y        9388   both
      6044    Y      Y        9387   both
      2960    Y      Y        9386   both
      8205    Y      Y        9385   both
       727    Y      Y        9384   both
      7901    Y      Y        9383   both
      6463    Y      Y        9382   both
      7486    Y      Y        9381   both
      5029    Y      Y        9380   both
      1986    Y      Y        9379   both
      2720    Y      Y        9378   both
      9526    Y      Y        9377   both
       279    Y      Y        9376   both
      4082    Y      N        9375  PW only
      2194    Y      Y        9374   both
      9413    Y      Y        9373   both
      3396    Y      Y        9372   both
      1718    Y      Y        9371   both
      7877    Y      Y        9370   both
      5863    Y      Y        9369   both
      4292    Y      Y        9368   both
      3172    Y      Y        9367   both
      7445    Y      Y        9366   both
       546    Y      Y        9365   both
      3286    Y      Y        9364   both
      4838    Y      Y        9363   both
      4998    Y      Y        9362   both
      8563    Y      Y        9361   both
      8618    Y      Y        9360   both
      9800    Y      Y        9359   both
      9777    Y      Y        9358   both
      1404    N      Y        9357  TTC only
      8429    Y      Y        9356   both
      2451    Y      Y        9355   both
      6331    Y      Y        9354   both
      5485    Y      Y        9353   both
      5526    Y      Y        9352   both
      4904    Y      Y        9351   both
      8732    Y      Y        9350   both
      8458    Y      Y        9349   both
      5337    Y      Y        9348   both
      5672    Y      Y        9347   both
       284    Y      Y        9346   both
      8561    Y      Y        9345   both
      7367    Y      Y        9344   both
      6080    Y      Y        9343   both
      6241    Y      Y        9342   both
      7860    Y      Y        9341   both
       259    Y      Y        9340   both
      4625    Y      Y        9339   both
      7181    Y      Y        9338   both
       331    Y      Y        9337   both
      3817    Y      Y        9335   both
       913    Y      Y        9334   both
      3637    Y      Y        9333   both
      2200    Y      Y        9332   both
      5924    Y      Y        9331   both
      3240    Y      Y        9330   both
      7925    Y      Y        9329   both
      8100    Y      Y        9328   both
       929    Y      Y        9327   both
      5628    Y      Y        9326   both
       448    Y      Y        9325   both
      2248    Y      Y        9324   both
      9894    Y      Y        9323   both
      7393    Y      Y        9322   both
      4761    Y      Y        9321   both
      7682    Y      N        9320  PW only
      6816    Y      Y        9319   both
      4608    Y      Y        9318   both
      9379    Y      Y        9317   both
      4331    Y      Y        9316   both
         2    Y      Y        9315   both
      9771    Y      Y        9314   both
      1479    Y      Y        9313   both
       345    Y      Y        9312   both
      9892    Y      Y        9311   both
      7305    Y      Y        9310   both
       185    Y      Y        9309   both
      9781    N      N        9308  neither
      3904    Y      Y        9307   both
       486    Y      Y        9306   both
      4977    Y      Y        9305   both
      7996    Y      Y        9304   both
       558    Y      Y        9303   both
      3692    Y      Y        9302   both
      6889    Y      Y        9301   both
      6410    Y      Y        9300   both
      2557    N      N        9299  neither
      3676    Y      Y        9298   both
      6576    Y      Y        9297   both
      6011    Y      Y        9296   both
      7752    Y      Y        9295   both
      9991    Y      Y        9294   both
      2185    Y      N        9293  PW only
      8138    Y      Y        9292   both
       477    Y      Y        9291   both
      5014    Y      N        9290  PW only
