Lex comparison: SP vs True — sorted by priority descending
 PatientID     SP   True    Priority     Verdict
       405      N      N         393     neither
       199      Y      N         392      A only
       112      N      N         391     neither
       357      N      N         390     neither
       905      Y      N         389      A only
       894      Y      Y         388        both
       930      Y      N         387      A only
       444      N      N         386     neither
       551      Y      N         385      A only
        33      N      N         384     neither
       897      N      N         383     neither
       140      Y      N         382      A only
       683      Y      N         381      A only
       163      N      N         380     neither
       280      Y      Y         379        both
       558      N      N         378     neither
       537      Y      N         377      A only
       556      Y      N         376      A only
       546      N      N         375     neither
       788      N      N         374     neither
        24      Y      Y         372        both
       739      Y      N         371      A only
       838      N      N         370     neither
       291      N      N         369     neither
       511      N      N         368     neither
       543      Y      N         367      A only
       173      Y      N         366      A only
       108      N      N         365     neither
       772      N      N         364     neither
       422      Y      Y         363        both
       562      N      N         362     neither
       390      N      N         361     neither
        54      N      N         360     neither
       402      N      N         359     neither
       181      N      N         358     neither
       637      Y      Y         357        both
       997      Y      Y         356        both
       674      N      N         355     neither
       736      Y      N         354      A only
       984      Y      N         353      A only
       912      N      N         352     neither
       225      Y      Y         351        both
        99      N      N         350     neither
       963      Y      Y         349        both
       114      Y      N         348      A only
       780      Y      N         347      A only
       973      N      N         346     neither
        97      Y      Y         345        both
       718      Y      N         343      A only
       513      Y      N         342      A only
       414      N      N         341     neither
       791      Y      N         340      A only
       344      Y      N         339      A only
        17      N      N         338     neither
       773      Y      N         337      A only
       484      Y      Y         336        both
       419      N      N         335     neither
       916      Y      N         334      A only
       450      Y      N         333      A only
       255      Y      Y         332        both
       538      N      N         331     neither
       106      Y      N         330      A only
       733      Y      N         329      A only
       658      Y      N         328      A only
       828      Y      N         327      A only
       680      N      N         326     neither
       641      Y      Y         325        both
       642      N      N         324     neither
       841      N      N         323     neither
       708      Y      Y         322        both
       222      N      N         321     neither
       502      N      N         320     neither
       919      Y      N         319      A only
       544      Y      N         318      A only
       518      Y      Y         317        both
       492      N      N         316     neither
       715      Y      N         315      A only
       131      N      N         314     neither
        82      N      N         313     neither
       716      Y      Y         311        both
       819      Y      N         310      A only
       853      N      N         309     neither
       634      N      N         308     neither
       911      N      N         307     neither
       688      N      N         306     neither
       579      N      N         305     neither
       306      N      N         304     neither
       756      Y      N         303      A only
